"species","species_label","sampler","realization","status","N_pres_total","N_pres_used","N_pseudo","overlap","rel_cov_PC1","rel_cov_PC2","prop_true_abs"
"sp1_generalist_common","Generalist · common","random",1,"ok",13902,300,300,17.910459,0.9306,0.8621,0.2267
"sp1_generalist_common","Generalist · common","random",2,"ok",13866,300,300,18.523285,0.8603,0.9639,0.2567
"sp1_generalist_common","Generalist · common","random",3,"ok",13984,300,300,19.147103,0.8945,0.8583,0.2867
"sp1_generalist_common","Generalist · common","random",4,"ok",13860,300,300,18.025083,0.8912,0.7385,0.2933
"sp1_generalist_common","Generalist · common","random",5,"ok",13936,300,300,18.362152,0.8955,0.8626,0.2567
"sp1_generalist_common","Generalist · common","random",6,"ok",13951,300,300,19.568051,0.9271,0.8623,0.28
"sp1_generalist_common","Generalist · common","random",7,"ok",13902,300,300,17.940394,0.8612,0.7228,0.23
"sp1_generalist_common","Generalist · common","random",8,"ok",13979,300,300,18.743039,0.8473,0.7889,0.25
"sp1_generalist_common","Generalist · common","random",9,"ok",13909,300,300,18.655084,0.8419,0.9249,0.31
"sp1_generalist_common","Generalist · common","random",10,"ok",13895,300,300,18.712176,0.8799,0.8658,0.27
"sp1_generalist_common","Generalist · common","random",11,"ok",14028,300,300,18.877367,0.8887,0.7637,0.2433
"sp1_generalist_common","Generalist · common","random",12,"ok",13980,300,300,18.838511,0.8993,0.95,0.3233
"sp1_generalist_common","Generalist · common","random",13,"ok",13994,300,300,18.775541,0.8625,0.8276,0.2667
"sp1_generalist_common","Generalist · common","random",14,"ok",13962,300,300,19.149819,0.972,0.868,0.2333
"sp1_generalist_common","Generalist · common","random",15,"ok",13873,300,300,18.840814,0.7966,0.856,0.25
"sp1_generalist_common","Generalist · common","random",16,"ok",14018,300,300,17.733326,0.9074,0.7565,0.2867
"sp1_generalist_common","Generalist · common","random",17,"ok",13900,300,300,17.606567,0.917,0.7948,0.2733
"sp1_generalist_common","Generalist · common","random",18,"ok",13946,300,300,19.014571,0.9004,0.8577,0.25
"sp1_generalist_common","Generalist · common","random",19,"ok",13889,300,300,18.939879,0.8409,0.8329,0.27
"sp1_generalist_common","Generalist · common","random",20,"ok",13836,300,300,17.305636,0.9557,0.8964,0.23
"sp1_generalist_common","Generalist · common","random",21,"ok",14006,300,300,17.86594,0.8816,0.8619,0.2533
"sp1_generalist_common","Generalist · common","random",22,"ok",13869,300,300,18.328291,0.9262,0.6952,0.2633
"sp1_generalist_common","Generalist · common","random",23,"ok",14012,300,300,16.823924,0.836,0.8826,0.21
"sp1_generalist_common","Generalist · common","random",24,"ok",13978,300,300,17.162847,0.8442,0.762,0.2067
"sp1_generalist_common","Generalist · common","random",25,"ok",13926,300,300,18.382491,0.8117,0.7473,0.2533
"sp1_generalist_common","Generalist · common","random",26,"ok",13993,300,300,18.591705,0.9482,0.8095,0.2733
"sp1_generalist_common","Generalist · common","random",27,"ok",13973,300,300,17.910315,0.9129,0.8629,0.2467
"sp1_generalist_common","Generalist · common","random",28,"ok",13989,300,300,18.428335,0.8546,0.9071,0.29
"sp1_generalist_common","Generalist · common","random",29,"ok",13920,300,300,18.15321,0.8013,0.8371,0.3167
"sp1_generalist_common","Generalist · common","random",30,"ok",14059,300,300,19.752276,0.8656,0.7765,0.2633
"sp1_generalist_common","Generalist · common","random",31,"ok",13989,300,300,18.774118,0.8684,0.8164,0.2467
"sp1_generalist_common","Generalist · common","random",32,"ok",13888,300,300,18.120975,0.8961,0.7355,0.2467
"sp1_generalist_common","Generalist · common","random",33,"ok",13961,300,300,19.545589,0.8703,0.8315,0.22
"sp1_generalist_common","Generalist · common","random",34,"ok",13865,300,300,18.715591,0.89,0.8779,0.2833
"sp1_generalist_common","Generalist · common","random",35,"ok",13920,300,300,18.289763,0.8597,0.8042,0.29
"sp1_generalist_common","Generalist · common","random",36,"ok",13893,300,300,19.08951,0.8431,0.7819,0.23
"sp1_generalist_common","Generalist · common","random",37,"ok",13975,300,300,18.778166,0.9026,0.85,0.2867
"sp1_generalist_common","Generalist · common","random",38,"ok",14003,300,300,16.852565,0.8777,0.8053,0.2267
"sp1_generalist_common","Generalist · common","random",39,"ok",13917,300,300,18.973129,0.8064,0.8404,0.2767
"sp1_generalist_common","Generalist · common","random",40,"ok",13939,300,300,18.882886,0.8735,0.7805,0.2833
"sp1_generalist_common","Generalist · common","random",41,"ok",14043,300,300,19.132697,0.8718,0.9292,0.24
"sp1_generalist_common","Generalist · common","random",42,"ok",13850,300,300,17.213299,0.8672,0.804,0.3
"sp1_generalist_common","Generalist · common","random",43,"ok",14036,300,300,18.12703,0.8964,0.8803,0.28
"sp1_generalist_common","Generalist · common","random",44,"ok",13984,300,300,16.783541,0.8717,0.7835,0.23
"sp1_generalist_common","Generalist · common","random",45,"ok",13877,300,300,17.8879,0.8087,0.7487,0.2767
"sp1_generalist_common","Generalist · common","random",46,"ok",13993,300,300,18.341934,0.8999,0.8261,0.26
"sp1_generalist_common","Generalist · common","random",47,"ok",13963,300,300,17.316488,0.8835,0.7318,0.2567
"sp1_generalist_common","Generalist · common","random",48,"ok",13963,300,300,17.664367,0.8473,0.8939,0.2467
"sp1_generalist_common","Generalist · common","random",49,"ok",13864,300,300,18.898009,0.8669,0.8483,0.2733
"sp1_generalist_common","Generalist · common","random",50,"ok",13871,300,300,17.471677,0.8683,0.8184,0.2733
"sp1_generalist_common","Generalist · common","buffer",1,"ok",13902,300,300,18.239734,0.9121,0.8553,0.27
"sp1_generalist_common","Generalist · common","buffer",2,"ok",13866,300,300,18.6537,0.9144,0.8802,0.2833
"sp1_generalist_common","Generalist · common","buffer",3,"ok",13984,300,300,18.66897,0.8153,0.8746,0.3
"sp1_generalist_common","Generalist · common","buffer",4,"ok",13860,300,300,18.550054,0.8326,0.863,0.29
"sp1_generalist_common","Generalist · common","buffer",5,"ok",13936,300,300,18.23022,0.9136,0.9048,0.3167
"sp1_generalist_common","Generalist · common","buffer",6,"ok",13951,300,300,19.141747,0.8933,0.8759,0.34
"sp1_generalist_common","Generalist · common","buffer",7,"ok",13902,300,300,17.403343,0.8653,0.892,0.2967
"sp1_generalist_common","Generalist · common","buffer",8,"ok",13979,300,300,19.07789,0.8601,0.7904,0.2833
"sp1_generalist_common","Generalist · common","buffer",9,"ok",13909,300,300,18.500235,0.9151,0.8594,0.2667
"sp1_generalist_common","Generalist · common","buffer",10,"ok",13895,300,300,19.33491,0.9478,0.834,0.29
"sp1_generalist_common","Generalist · common","buffer",11,"ok",14028,300,300,18.656636,0.8333,0.7774,0.3
