"species","species_label","sampler","realization","status","N_pres_total","N_pres_used","N_pseudo","overlap","rel_cov_PC1","rel_cov_PC2","rel_cov_PC3","rel_cov_PC4","rel_cov_PC5","prop_true_abs"
"sp1_generalist_common","Generalist · common","random",1,"ok",2302,300,300,214.28097,0.8899,0.8694,0.5693,0.5316,0.3909,0.8633
"sp1_generalist_common","Generalist · common","random",2,"ok",2321,300,300,237.325576,0.922,0.9809,0.6419,0.6902,0.7127,0.85
"sp1_generalist_common","Generalist · common","random",3,"ok",2312,300,300,187.852938,0.8924,0.8477,0.6645,0.556,0.4648,0.85
"sp1_generalist_common","Generalist · common","random",4,"ok",2299,300,300,248.7856,0.9315,0.9447,0.5917,0.53,0.5141,0.85
"sp1_generalist_common","Generalist · common","random",5,"ok",2305,300,300,191.831643,0.8811,0.9154,0.6864,0.5478,0.4946,0.8667
"sp1_generalist_common","Generalist · common","random",6,"ok",2349,300,300,217.167098,0.8544,0.8705,0.7403,0.7037,0.7702,0.8867
"sp1_generalist_common","Generalist · common","random",7,"ok",2300,300,300,220.721587,0.8221,0.9221,0.6881,0.8515,0.4973,0.85
"sp1_generalist_common","Generalist · common","random",8,"ok",2323,300,300,198.205285,0.9005,0.8052,0.7294,0.719,0.6585,0.8633
"sp1_generalist_common","Generalist · common","random",9,"ok",2344,300,300,206.959602,0.9768,0.8843,0.6759,0.6343,0.5343,0.8833
"sp1_generalist_common","Generalist · common","random",10,"ok",2321,300,300,205.806755,0.972,0.8792,0.592,0.584,0.6371,0.86
"sp1_generalist_common","Generalist · common","random",11,"ok",2271,300,300,201.045065,0.8519,0.7453,0.5872,0.7148,0.5445,0.8367
"sp1_generalist_common","Generalist · common","random",12,"ok",2323,300,300,229.309119,0.8962,0.9341,0.725,0.8026,0.5042,0.8267
"sp1_generalist_common","Generalist · common","random",13,"ok",2333,300,300,208.582877,0.8569,0.8802,0.5929,0.6905,0.7034,0.8433
"sp1_generalist_common","Generalist · common","random",14,"ok",2283,300,300,233.545121,0.8478,0.9429,0.6711,0.621,0.4602,0.8667
"sp1_generalist_common","Generalist · common","random",15,"ok",2322,300,300,224.699831,0.8367,0.8069,0.7067,0.6679,0.5585,0.88
"sp1_generalist_common","Generalist · common","random",16,"ok",2275,300,300,201.157968,0.8451,0.7881,0.6988,0.708,0.6131,0.8467
"sp1_generalist_common","Generalist · common","random",17,"ok",2291,300,300,189.056701,0.8683,0.8386,0.638,0.6581,0.3871,0.8733
"sp1_generalist_common","Generalist · common","random",18,"ok",2312,300,300,214.575215,0.8817,0.8504,0.7055,0.5616,0.6182,0.8433
"sp1_generalist_common","Generalist · common","random",19,"ok",2340,300,300,199.52754,0.8051,0.913,0.6098,0.6963,0.5707,0.8633
"sp1_generalist_common","Generalist · common","random",20,"ok",2310,300,300,214.91049,0.876,0.7919,0.6216,0.6516,0.491,0.8433
"sp1_generalist_common","Generalist · common","random",21,"ok",2268,300,300,203.095976,0.8844,0.8539,0.5753,0.6766,0.5846,0.88
"sp1_generalist_common","Generalist · common","random",22,"ok",2316,300,300,237.253876,0.8986,0.8945,0.6931,0.6991,0.5199,0.8267
"sp1_generalist_common","Generalist · common","random",23,"ok",2320,300,300,214.044904,0.9031,0.9339,0.6747,0.6719,0.5291,0.8267
"sp1_generalist_common","Generalist · common","random",24,"ok",2333,300,300,224.519041,0.9245,0.9489,0.6417,0.5609,0.574,0.8667
"sp1_generalist_common","Generalist · common","random",25,"ok",2293,300,300,203.961177,0.9092,0.9146,0.5914,0.5637,0.5045,0.89
"sp1_generalist_common","Generalist · common","random",26,"ok",2280,300,300,196.413815,0.8461,0.8728,0.7189,0.6115,0.5933,0.8333
"sp1_generalist_common","Generalist · common","random",27,"ok",2292,300,300,204.370485,0.8605,0.8872,0.5554,0.6853,0.4777,0.8633
"sp1_generalist_common","Generalist · common","random",28,"ok",2310,300,300,194.783281,0.9205,0.8861,0.5816,0.7488,0.587,0.8067
"sp1_generalist_common","Generalist · common","random",29,"ok",2311,300,300,194.793234,0.9534,0.9323,0.6401,0.5093,0.5444,0.88
"sp1_generalist_common","Generalist · common","random",30,"ok",2351,300,300,204.723973,0.884,0.8492,0.8287,0.617,0.6224,0.8533
"sp1_generalist_common","Generalist · common","random",31,"ok",2353,300,300,217.581491,0.8877,0.8229,0.7133,0.5425,0.513,0.85
"sp1_generalist_common","Generalist · common","random",32,"ok",2254,300,300,248.191429,0.9254,0.8922,0.9225,0.8081,0.6606,0.8567
