"predictor_set","species","sampler","auc","tss","boyce","sensitivity","specificity","cor","rmse","cor_truth","rmse_truth","r2"
"pc5","sp1_generalist_common","buffer-out",0.968,0.862,0.792,0.933,0.923,0.861,0.266,0.871,0.228,0.734
"pc5","sp1_generalist_common","uniform+",0.97,0.861,0.743,0.952,0.916,0.873,0.258,0.811,0.282,0.745
"pc5","sp1_generalist_common","RND",0.866,0.657,0.833,0.911,0.74,0.669,0.375,0.88,0.188,0.43
"pc5","sp2_specialist_common","buffer-out",0.994,0.958,0.697,0.989,0.973,0.953,0.177,0.758,0.242,0.918
"pc5","sp2_specialist_common","uniform+",0.992,0.961,0.682,0.993,0.969,0.955,0.175,0.713,0.268,0.911
"pc5","sp2_specialist_common","RND",0.952,0.844,0.756,0.976,0.866,0.844,0.28,0.808,0.189,0.693
"pc5","sp3_generalist_rare","buffer-out",0.91,0.696,0.913,0.86,0.838,0.721,0.353,0.69,0.375,0.503
"pc5","sp3_generalist_rare","uniform+",0.886,0.666,0.882,0.882,0.787,0.679,0.368,0.543,0.44,0.459
"pc5","sp3_generalist_rare","RND",0.836,0.556,0.913,0.836,0.732,0.588,0.407,0.699,0.343,0.336
"pc5","sp4_specialist_rare","buffer-out",0.964,0.892,0.684,0.984,0.922,0.849,0.283,0.349,0.313,0.808
"pc5","sp4_specialist_rare","uniform+",0.956,0.886,0.7,0.979,0.908,0.847,0.276,0.311,0.345,0.752
"pc5","sp4_specialist_rare","RND",0.958,0.874,0.681,0.98,0.903,0.841,0.286,0.359,0.297,0.779
"raw12","sp1_generalist_common","buffer-out",0.965,0.851,0.775,0.933,0.919,0.856,0.27,0.857,0.237,0.742
"raw12","sp1_generalist_common","uniform+",0.966,0.866,0.716,0.958,0.908,0.865,0.264,0.765,0.312,0.769
"raw12","sp1_generalist_common","RND",0.855,0.647,0.84,0.902,0.746,0.655,0.381,0.867,0.194,0.438
"raw12","sp2_specialist_common","buffer-out",0.992,0.951,0.653,0.984,0.969,0.944,0.189,0.737,0.252,0.926
"raw12","sp2_specialist_common","uniform+",0.988,0.95,0.629,0.989,0.963,0.943,0.189,0.656,0.303,0.921
"raw12","sp2_specialist_common","RND",0.947,0.826,0.766,0.974,0.856,0.831,0.289,0.794,0.195,0.702
"raw12","sp3_generalist_rare","buffer-out",0.91,0.691,0.904,0.859,0.832,0.716,0.355,0.661,0.386,0.516
"raw12","sp3_generalist_rare","uniform+",0.89,0.66,0.903,0.868,0.797,0.685,0.37,0.507,0.456,0.466
"raw12","sp3_generalist_rare","RND",0.827,0.538,0.91,0.836,0.719,0.571,0.413,0.668,0.352,0.329
"raw12","sp4_specialist_rare","buffer-out",0.944,0.852,0.706,0.955,0.89,0.788,0.329,0.3,0.344,0.804
"raw12","sp4_specialist_rare","uniform+",0.924,0.807,0.654,0.944,0.866,0.772,0.337,0.254,0.393,0.758
"raw12","sp4_specialist_rare","RND",0.934,0.829,0.675,0.947,0.884,0.792,0.333,0.294,0.348,0.785
