"species","predictor_set","algorithm","metric","comparison","Z","p_adj","significant"
"sp1_generalist_common","pc5","glm","cor_truth","uniform+ - buffer",-5.9937,4.102e-09,TRUE
"sp1_generalist_common","pc5","glm","cor_truth","uniform+ - random",-11.1588,1.945e-28,TRUE
"sp1_generalist_common","pc5","glm","rmse_truth","uniform+ - buffer",5.4505,5.022e-08,TRUE
"sp1_generalist_common","pc5","glm","rmse_truth","uniform+ - random",11.3568,2.059e-29,TRUE
"sp1_generalist_common","pc5","glm","auc","uniform+ - buffer",-1.9036,0.05697,FALSE
"sp1_generalist_common","pc5","glm","auc","uniform+ - random",7.6798,3.186e-14,TRUE
"sp1_generalist_common","pc5","glm","tss","uniform+ - buffer",0.0265,0.9789,FALSE
"sp1_generalist_common","pc5","glm","tss","uniform+ - random",8.629,1.856e-17,TRUE
"sp1_generalist_common","pc5","glm","boyce","uniform+ - buffer",-0.7734,0.4393,FALSE
"sp1_generalist_common","pc5","glm","boyce","uniform+ - random",-6.0283,4.972e-09,TRUE
"sp1_generalist_common","pc5","gam","cor_truth","uniform+ - buffer",-6.6451,6.059e-11,TRUE
"sp1_generalist_common","pc5","gam","cor_truth","uniform+ - random",-10.3901,8.255e-25,TRUE
"sp1_generalist_common","pc5","gam","rmse_truth","uniform+ - buffer",5.5932,2.229e-08,TRUE
"sp1_generalist_common","pc5","gam","rmse_truth","uniform+ - random",11.4281,9.075e-30,TRUE
"sp1_generalist_common","pc5","gam","auc","uniform+ - buffer",-0.5409,0.5886,FALSE
"sp1_generalist_common","pc5","gam","auc","uniform+ - random",8.3611,1.242e-16,TRUE
"sp1_generalist_common","pc5","gam","tss","uniform+ - buffer",0.7089,0.4784,FALSE
"sp1_generalist_common","pc5","gam","tss","uniform+ - random",8.9875,7.584e-19,TRUE
"sp1_generalist_common","pc5","gam","boyce","uniform+ - buffer",-1.068,0.2855,FALSE
"sp1_generalist_common","pc5","gam","boyce","uniform+ - random",-6.2308,1.392e-09,TRUE
"sp1_generalist_common","pc5","rf","cor_truth","uniform+ - buffer",-8.8134,3.643e-18,TRUE
"sp1_generalist_common","pc5","rf","cor_truth","uniform+ - random",-6.2331,9.145e-10,TRUE
"sp1_generalist_common","pc5","rf","rmse_truth","uniform+ - buffer",5.6324,1.778e-08,TRUE
"sp1_generalist_common","pc5","rf","rmse_truth","uniform+ - random",11.3269,2.898e-29,TRUE
"sp1_generalist_common","pc5","rf","auc","uniform+ - buffer",0.5202,0.6029,FALSE
"sp1_generalist_common","pc5","rf","auc","uniform+ - random",8.8917,1.805e-18,TRUE
"sp1_generalist_common","pc5","rf","tss","uniform+ - buffer",0.1061,0.9155,FALSE
"sp1_generalist_common","pc5","rf","tss","uniform+ - random",8.6951,1.04e-17,TRUE
"sp1_generalist_common","pc5","rf","boyce","uniform+ - buffer",-0.4557,0.6486,FALSE
"sp1_generalist_common","pc5","rf","boyce","uniform+ - random",-2.7345,0.01874,TRUE
"sp1_generalist_common","pc5","brt","cor_truth","uniform+ - buffer",-6.7832,2.35e-11,TRUE
"sp1_generalist_common","pc5","brt","cor_truth","uniform+ - random",-10.2589,3.239e-24,TRUE
"sp1_generalist_common","pc5","brt","rmse_truth","uniform+ - buffer",5.5863,2.319e-08,TRUE
"sp1_generalist_common","pc5","brt","rmse_truth","uniform+ - random",11.366,1.853e-29,TRUE
"sp1_generalist_common","pc5","brt","auc","uniform+ - buffer",0.557,0.5775,FALSE
"sp1_generalist_common","pc5","brt","auc","uniform+ - random",8.9101,1.53e-18,TRUE
"sp1_generalist_common","pc5","brt","tss","uniform+ - buffer",0.1695,0.8654,FALSE
"sp1_generalist_common","pc5","brt","tss","uniform+ - random",8.7256,7.941e-18,TRUE
"sp1_generalist_common","pc5","brt","boyce","uniform+ - buffer",-3.7587,0.0003415,TRUE
"sp1_generalist_common","pc5","brt","boyce","uniform+ - random",-3.8439,0.0003633,TRUE
"sp1_generalist_common","pc5","maxent","cor_truth","uniform+ - buffer",-8.6891,1.096e-17,TRUE
"sp1_generalist_common","pc5","maxent","cor_truth","uniform+ - random",-7.3172,5.063e-13,TRUE
"sp1_generalist_common","pc5","maxent","rmse_truth","uniform+ - buffer",8.8341,3.028e-18,TRUE
"sp1_generalist_common","pc5","maxent","rmse_truth","uniform+ - random",6.827,1.735e-11,TRUE
"sp1_generalist_common","pc5","maxent","auc","uniform+ - buffer",0.0184,0.9853,FALSE
"sp1_generalist_common","pc5","maxent","auc","uniform+ - random",8.6409,1.674e-17,TRUE
