"species","species_label","predictor_set","metric","uniform_plus","RND","buffer","delta_vs_best_naive","category"
"sp1_generalist_common","Generalist · common","pc5","cor_truth",0.813,0.879,0.874,-0.065,"beats none"
"sp1_generalist_common","Generalist · common","pc5","rmse_truth",0.287,0.187,0.238,-0.1,"beats none"
"sp1_generalist_common","Generalist · common","pc5","auc",0.969,0.866,0.97,0,"beats one"
"sp1_generalist_common","Generalist · common","pc5","boyce",0.773,0.846,0.798,-0.073,"beats none"
"sp1_generalist_common","Generalist · common","pc5","tss",0.867,0.656,0.861,0.006,"beats both"
"sp1_generalist_common","Generalist · common","pc5","sensitivity",0.956,0.922,0.933,0.022,"beats both"
"sp1_generalist_common","Generalist · common","pc5","specificity",0.911,0.744,0.922,-0.011,"beats one"
"sp1_generalist_common","Generalist · common","pc5","kappa",0.867,0.656,0.861,0.006,"beats both"
"sp1_generalist_common","Generalist · common","pc5","cor",0.868,0.668,0.864,0.005,"beats both"
"sp1_generalist_common","Generalist · common","pc5","r2",0.749,0.437,0.731,0.018,"beats both"
"sp1_generalist_common","Generalist · common","pc5","rmse",0.26,0.376,0.263,0.003,"beats both"
"sp1_generalist_common","Generalist · common","pc5","deviance",87.719,159.959,89.447,1.727,"beats both"
"sp3_generalist_rare","Generalist · rare","pc5","cor_truth",0.571,0.711,0.709,-0.141,"beats none"
"sp3_generalist_rare","Generalist · rare","pc5","rmse_truth",0.444,0.342,0.381,-0.102,"beats none"
"sp3_generalist_rare","Generalist · rare","pc5","auc",0.903,0.836,0.917,-0.014,"beats one"
"sp3_generalist_rare","Generalist · rare","pc5","boyce",0.891,0.92,0.919,-0.028,"beats none"
"sp3_generalist_rare","Generalist · rare","pc5","tss",0.678,0.556,0.7,-0.022,"beats one"
"sp3_generalist_rare","Generalist · rare","pc5","sensitivity",0.889,0.844,0.867,0.022,"beats both"
"sp3_generalist_rare","Generalist · rare","pc5","specificity",0.8,0.744,0.844,-0.044,"beats one"
"sp3_generalist_rare","Generalist · rare","pc5","kappa",0.678,0.556,0.7,-0.022,"beats one"
"sp3_generalist_rare","Generalist · rare","pc5","cor",0.706,0.589,0.728,-0.021,"beats one"
"sp3_generalist_rare","Generalist · rare","pc5","r2",0.495,0.332,0.521,-0.026,"beats one"
"sp3_generalist_rare","Generalist · rare","pc5","rmse",0.363,0.409,0.353,-0.011,"beats one"
"sp3_generalist_rare","Generalist · rare","pc5","deviance",150.495,182.691,143.408,-7.087,"beats one"
"sp2_specialist_common","Specialist · common","pc5","cor_truth",0.723,0.811,0.77,-0.088,"beats none"
"sp2_specialist_common","Specialist · common","pc5","rmse_truth",0.272,0.192,0.253,-0.08,"beats none"
"sp2_specialist_common","Specialist · common","pc5","auc",0.995,0.95,0.996,-0.001,"beats one"
"sp2_specialist_common","Specialist · common","pc5","boyce",0.72,0.765,0.725,-0.046,"beats none"
"sp2_specialist_common","Specialist · common","pc5","tss",0.967,0.844,0.956,0.011,"beats both"
"sp2_specialist_common","Specialist · common","pc5","sensitivity",1,0.978,0.989,0.011,"beats both"
"sp2_specialist_common","Specialist · common","pc5","specificity",0.967,0.867,0.978,-0.011,"beats one"
"sp2_specialist_common","Specialist · common","pc5","kappa",0.967,0.844,0.956,0.011,"beats both"
"sp2_specialist_common","Specialist · common","pc5","cor",0.956,0.843,0.955,0.001,"beats one"
"sp2_specialist_common","Specialist · common","pc5","r2",0.918,0.702,0.921,-0.003,"beats one"
