"env_cutoff","species_cutoff","cor_truth","rmse_truth","auc","tss","boyce"
0.001,1,0.6184,0.3208,0.9732,0.8778,0.7996
0.001,0.9,0.618,0.3184,0.9721,0.8778,0.7924
0.001,0.75,0.6236,0.3159,0.9723,0.8778,0.7965
0.001,0.6,0.6241,0.318,0.9728,0.8778,0.8022
0.001,0.5,0.6193,0.3238,0.9769,0.8889,0.8002
0.005,1,0.638,0.3134,0.9683,0.8778,0.7913
0.005,0.9,0.6288,0.3089,0.9693,0.8667,0.7784
0.005,0.75,0.6334,0.3105,0.9737,0.8778,0.7933
0.005,0.6,0.6307,0.31,0.9709,0.8824,0.8076
0.005,0.5,0.6365,0.313,0.9717,0.8778,0.7878
0.01,1,0.6392,0.3101,0.9698,0.8778,0.7888
0.01,0.9,0.6485,0.3076,0.9677,0.8667,0.7964
0.01,0.75,0.6359,0.3072,0.9711,0.8778,0.8058
0.01,0.6,0.6392,0.3081,0.9705,0.8778,0.8064
0.01,0.5,0.6388,0.3056,0.9745,0.8824,0.7882
0.05,1,0.6625,0.2934,0.9645,0.8667,0.7963
0.05,0.9,0.6633,0.2892,0.9667,0.8667,0.7952
0.05,0.75,0.6668,0.2903,0.9659,0.8667,0.7859
0.05,0.6,0.6651,0.2888,0.9679,0.8667,0.7876
0.05,0.5,0.6689,0.2881,0.9647,0.8571,0.8001
0.1,1,0.6796,0.2789,0.9589,0.8556,0.7959
0.1,0.9,0.6804,0.2807,0.9552,0.8444,0.7887
0.1,0.75,0.6853,0.2794,0.9593,0.8333,0.8118
0.1,0.6,0.679,0.2795,0.9599,0.8444,0.8117
0.1,0.5,0.6837,0.282,0.9607,0.8453,0.8143
0.15,1,0.6947,0.27,0.9559,0.8333,0.8126
0.15,0.9,0.6997,0.2694,0.9544,0.8389,0.7923
0.15,0.75,0.6931,0.2673,0.9575,0.8444,0.814
0.15,0.6,0.6971,0.267,0.9562,0.8444,0.7953
0.15,0.5,0.7027,0.2666,0.9541,0.8389,0.809
0.2,1,0.7042,0.2598,0.9451,0.8125,0.8145
0.2,0.9,0.7074,0.2577,0.957,0.8389,0.8038
0.2,0.75,0.7166,0.259,0.9494,0.8222,0.8187
0.2,0.6,0.7128,0.2615,0.956,0.8333,0.8148
0.2,0.5,0.7129,0.2647,0.9586,0.8444,0.8016
0.25,1,0.721,0.2524,0.9423,0.8,0.8146
0.25,0.9,0.7267,0.2511,0.937,0.8,0.8311
0.25,0.75,0.7301,0.2508,0.9371,0.8,0.8184
0.25,0.6,0.7261,0.2515,0.9444,0.8111,0.8276
0.25,0.5,0.732,0.2522,0.9448,0.8111,0.8228
