"step","seconds"
"u+_2d_PCA",0.449
"u+_2d_precompute",7.696
"u+_2d_envGMM_fit",8.594
"u+_2d_envGMM_eval",0.0150000000000006
"u+_2d_presGMM_fit",2.20400000000001
"u+_2d_chain_per1k",0.000678260869565273
"u+_2d_chain_10k",0.00678260869565273
"u+_2d_total_cold10k",10.0405
"u+_2d_total_warm10k_cpp",2.264
"u+_2d_total_warm10k_R",2.694
"u_2d_PCA",0.449
"u_2d_KDE_Hpi",0.391999999999996
"u_2d_KDE_fit",0.484000000000009
"u_2d_total_grid10",8.8605
"u_2d_optimRes",377.045
"u+_5d_precompute",12.5705
"u+_5d_envGMM_fit",10.03
"u+_5d_envGMM_eval",0.0170000000000528
"u+_5d_presGMM_fit",2.625
"u+_5d_chain_per1k",0.00606608695652184
"u+_5d_chain_10k",0.0606608695652184
"u+_5d_total_cold10k",15.358
